question,answer
What is the largest ocean on Earth?,Pacific Ocean
What is the capital of Spain?,Madrid
Who discovered gravity?,Isaac Newton
Which country is home to the Great Wall?,China
What is the smallest planet in our solar system?,Mercury
What is the capital of Russia?,Moscow
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the tallest building in the world?,Burj Khalifa
Which planet is known for its rings?,Saturn
Who discovered electricity?,Benjamin Franklin
Which country invented paper?,China
What is the national sport of Canada?,Ice Hockey
What is the capital of Australia?,Canberra
What is the largest continent?,Asia
What is the deepest ocean on Earth?,Pacific Ocean
Who invented the light bulb?,Thomas Edison
What is the currency of the United States?,Dollar
Which city is the Statue of Liberty located in?,New York City
What is the most populous country in the world?,China
Who wrote 'Pride and Prejudice'?,Jane Austen
Which country is known for its maple syrup?,Canada
What is the capital of Brazil?,Brasília
What is the longest mountain range in the world?,Andes
Which famous ship sank after hitting an iceberg?,Titanic
Which country is home to the Great Barrier Reef?,Australia
What is the square root of 144?,12
What is the capital of India?,New Delhi
Who was the first woman to win a Nobel Prize?,Marie Curie
Which city is known as the City of Love?,Paris
Who invented the airplane?,Wright Brothers
What is the capital of South Korea?,Seoul
Who wrote the play Hamlet?,William Shakespeare
What is the largest country by land area?,Russia
Which famous artist cut off his own ear?,Vincent van Gogh
What is the tallest statue in the world?,Statue of Unity
What is the longest river in the world?,Amazon River
Who is known as the Father of Modern Physics?,Albert Einstein
What is the national bird of the United States?,Bald Eagle
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
What year did the Titanic sink?,1912
Who wrote the play Romeo and Juliet?,William Shakespeare
What is the hardest natural substance on Earth?,Diamond
Who was the first man to step on the moon?,Neil Armstrong
What is the longest river in the world?,Nile River
Who discovered penicillin?,Alexander Fleming
What is the smallest country in the world?,Vatican City
Who is known as the Father of Computers?,Charles Babbage
Which planet is known as the Red Planet?,Mars
Who invented the telephone?,Alexander Graham Bell
Which country is home to the Great Barrier Reef?,Australia
What is the capital of Japan?,Tokyo
Who is the author of '1984'?,George Orwell
What is the tallest mountain in the world?,Mount Everest
Which animal is the largest mammal?,Blue Whale
What is the national flower of Japan?,Cherry Blossom
What is the currency of the United Kingdom?,Pound Sterling
In what year did World War II end?,1945
Who was the first president of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
Who wrote the novel 'Moby Dick'?,Herman Melville
Which country invented the first automobile?,Germany
What is the capital of Canada?,Ottawa
What is the most spoken language in the world?,Mandarin Chinese
Who is the founder of Microsoft?,Bill Gates
Which sport is known as 'The King of Sports'?,Soccer (Football)
In which year did the first manned moon landing take place?,1969
What is the capital of Italy?,Rome
Who was the first female prime minister of the United Kingdom?,Margaret Thatcher
Which country is famous for the Eiffel Tower?,France
What is the longest river in the United States?,Missouri River
Which city is known as the Big Apple?,New York City
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
Which planet is closest to the sun?,Mercury
Which famous scientist developed the theory of relativity?,Albert Einstein
What is the capital of Egypt?,Cairo
Which animal is known as the king of the jungle?,Lion
Which country is the largest producer of coffee?,Brazil
What is the largest desert in the world?,Sahara Desert
Which ancient civilization built the pyramids?,Ancient Egyptians
Who is known as the King of Pop?,Michael Jackson
What is the capital of Germany?,Berlin
Which country is famous for its sushi?,Japan
Who painted the Starry Night?,Vincent van Gogh
What is the fastest land animal?,Cheetah
Who is the author of 'Harry Potter'?,J.K. Rowling
What is the most popular sport in the world?,Soccer (Football)
Who was the first man to walk in space?,Yuri Gagarin
Which country is known as the Land of the Rising Sun?,Japan
What is the largest ocean on Earth?,Pacific Ocean
What is the capital of Spain?,Madrid
Who discovered gravity?,Isaac Newton
Which country is home to the Great Wall?,China
What is the smallest planet in our solar system?,Mercury
What is the capital of Russia?,Moscow
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the tallest building in the world?,Burj Khalifa
Which planet is known for its rings?,Saturn
Who discovered electricity?,Benjamin Franklin
Which country invented paper?,China
What is the national sport of Canada?,Ice Hockey
What is the capital of Australia?,Canberra
What is the largest continent?,Asia
What is the deepest ocean on Earth?,Pacific Ocean
Who invented the light bulb?,Thomas Edison
What is the currency of the United States?,Dollar
Which city is the Statue of Liberty located in?,New York City
What is the most populous country in the world?,China
Who wrote 'Pride and Prejudice'?,Jane Austen
Which country is known for its maple syrup?,Canada
What is the capital of Brazil?,Brasília
What is the longest mountain range in the world?,Andes
Which famous ship sank after hitting an iceberg?,Titanic
Which country is home to the Great Barrier Reef?,Australia
What is the square root of 144?,12
What is the capital of India?,New Delhi
Who was the first woman to win a Nobel Prize?,Marie Curie
Which city is known as the City of Love?,Paris
Who invented the airplane?,Wright Brothers
What is the capital of South Korea?,Seoul
Who wrote the play Hamlet?,William Shakespeare
What is the largest country by land area?,Russia
Which famous artist cut off his own ear?,Vincent van Gogh
What is the tallest statue in the world?,Statue of Unity
What is the longest river in the world?,Amazon River
Who is known as the Father of Modern Physics?,Albert Einstein
What is the national bird of the United States?,Bald Eagle
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
What year did the Titanic sink?,1912
Who wrote the play Romeo and Juliet?,William Shakespeare
What is the hardest natural substance on Earth?,Diamond
Who was the first man to step on the moon?,Neil Armstrong
What is the longest river in the world?,Nile River
Who discovered penicillin?,Alexander Fleming
What is the smallest country in the world?,Vatican City
Who is known as the Father of Computers?,Charles Babbage
Which planet is known as the Red Planet?,Mars
Who invented the telephone?,Alexander Graham Bell
Which country is home to the Great Barrier Reef?,Australia
What is the capital of Japan?,Tokyo
Who is the author of '1984'?,George Orwell
What is the tallest mountain in the world?,Mount Everest
Which animal is the largest mammal?,Blue Whale
What is the national flower of Japan?,Cherry Blossom
What is the currency of the United Kingdom?,Pound Sterling
In what year did World War II end?,1945
Who was the first president of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
Who wrote the novel 'Moby Dick'?,Herman Melville
Which country invented the first automobile?,Germany
What is the capital of Canada?,Ottawa
What is the most spoken language in the world?,Mandarin Chinese
Who is the founder of Microsoft?,Bill Gates
Which sport is known as 'The King of Sports'?,Soccer (Football)
In which year did the first manned moon landing take place?,1969
What is the capital of Italy?,Rome
Who was the first female prime minister of the United Kingdom?,Margaret Thatcher
Which country is famous for the Eiffel Tower?,France
What is the longest river in the United States?,Missouri River
Which city is known as the Big Apple?,New York City
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
Which planet is closest to the sun?,Mercury
Which famous scientist developed the theory of relativity?,Albert Einstein
What is the capital of Egypt?,Cairo
Which animal is known as the king of the jungle?,Lion
Which country is the largest producer of coffee?,Brazil
What is the largest desert in the world?,Sahara Desert
Which ancient civilization built the pyramids?,Ancient Egyptians
Who is known as the King of Pop?,Michael Jackson
What is the capital of Germany?,Berlin
Which country is famous for its sushi?,Japan
Who painted the Starry Night?,Vincent van Gogh
What is the fastest land animal?,Cheetah
Who is the author of 'Harry Potter'?,J.K. Rowling
What is the most popular sport in the world?,Soccer (Football)
Who was the first man to walk in space?,Yuri Gagarin
Which country is known as the Land of the Rising Sun?,Japan
What is the largest ocean on Earth?,Pacific Ocean
What is the capital of Spain?,Madrid
Who discovered gravity?,Isaac Newton
Which country is home to the Great Wall?,China
What is the smallest planet in our solar system?,Mercury
What is the capital of Russia?,Moscow
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the tallest building in the world?,Burj Khalifa
Which planet is known for its rings?,Saturn
Who discovered electricity?,Benjamin Franklin
Which country invented paper?,China
What is the national sport of Canada?,Ice Hockey
What is the capital of Australia?,Canberra
What is the largest continent?,Asia
What is the deepest ocean on Earth?,Pacific Ocean
Who invented the light bulb?,Thomas Edison
What is the currency of the United States?,Dollar
Which city is the Statue of Liberty located in?,New York City
What is the most populous country in the world?,China
Who wrote 'Pride and Prejudice'?,Jane Austen
Which country is known for its maple syrup?,Canada
What is the capital of Brazil?,Brasília
What is the longest mountain range in the world?,Andes
Which famous ship sank after hitting an iceberg?,Titanic
Which country is home to the Great Barrier Reef?,Australia
What is the square root of 144?,12
What is the capital of India?,New Delhi
Who was the first woman to win a Nobel Prize?,Marie Curie
Which city is known as the City of Love?,Paris
Who invented the airplane?,Wright Brothers
What is the capital of South Korea?,Seoul
Who wrote the play Hamlet?,William Shakespeare
What is the largest country by land area?,Russia
Which famous artist cut off his own ear?,Vincent van Gogh
What is the tallest statue in the world?,Statue of Unity
What is the longest river in the world?,Amazon River
Who is known as the Father of Modern Physics?,Albert Einstein
What is the national bird of the United States?,Bald Eagle
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
What year did the Titanic sink?,1912
Who wrote the play Romeo and Juliet?,William Shakespeare
What is the hardest natural substance on Earth?,Diamond
Who was the first man to step on the moon?,Neil Armstrong
What is the longest river in the world?,Nile River
Who discovered penicillin?,Alexander Fleming
What is the smallest country in the world?,Vatican City
Who is known as the Father of Computers?,Charles Babbage
Which planet is known as the Red Planet?,Mars
Who invented the telephone?,Alexander Graham Bell
Which country is home to the Great Barrier Reef?,Australia
What is the capital of Japan?,Tokyo
Who is the author of '1984'?,George Orwell
What is the tallest mountain in the world?,Mount Everest
Which animal is the largest mammal?,Blue Whale
What is the national flower of Japan?,Cherry Blossom
What is the currency of the United Kingdom?,Pound Sterling
In what year did World War II end?,1945
Who was the first president of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
Who wrote the novel 'Moby Dick'?,Herman Melville
Which country invented the first automobile?,Germany
What is the capital of Canada?,Ottawa
What is the most spoken language in the world?,Mandarin Chinese
Who is the founder of Microsoft?,Bill Gates
Which sport is known as 'The King of Sports'?,Soccer (Football)
In which year did the first manned moon landing take place?,1969
What is the capital of Italy?,Rome
Who was the first female prime minister of the United Kingdom?,Margaret Thatcher
Which country is famous for the Eiffel Tower?,France
What is the longest river in the United States?,Missouri River
Which city is known as the Big Apple?,New York City
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
Which planet is closest to the sun?,Mercury
Which famous scientist developed the theory of relativity?,Albert Einstein
What is the capital of Egypt?,Cairo
Which animal is known as the king of the jungle?,Lion
Which country is the largest producer of coffee?,Brazil
What is the largest desert in the world?,Sahara Desert
Which ancient civilization built the pyramids?,Ancient Egyptians
Who is known as the King of Pop?,Michael Jackson
What is the capital of Germany?,Berlin
Which country is famous for its sushi?,Japan
Who painted the Starry Night?,Vincent van Gogh
What is the fastest land animal?,Cheetah
Who is the author of 'Harry Potter'?,J.K. Rowling
What is the most popular sport in the world?,Soccer (Football)
Who was the first man to walk in space?,Yuri Gagarin
Which country is known as the Land of the Rising Sun?,Japan
What is the largest ocean on Earth?,Pacific Ocean
What is the capital of Spain?,Madrid
Who discovered gravity?,Isaac Newton
Which country is home to the Great Wall?,China
What is the smallest planet in our solar system?,Mercury
What is the capital of Russia?,Moscow
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the tallest building in the world?,Burj Khalifa
Which planet is known for its rings?,Saturn
Who discovered electricity?,Benjamin Franklin
Which country invented paper?,China
What is the national sport of Canada?,Ice Hockey
What is the capital of Australia?,Canberra
What is the largest continent?,Asia
What is the deepest ocean on Earth?,Pacific Ocean
Who invented the light bulb?,Thomas Edison
What is the currency of the United States?,Dollar
Which city is the Statue of Liberty located in?,New York City
What is the most populous country in the world?,China
Who wrote 'Pride and Prejudice'?,Jane Austen
Which country is known for its maple syrup?,Canada
What is the capital of Brazil?,Brasília
What is the longest mountain range in the world?,Andes
Which famous ship sank after hitting an iceberg?,Titanic
Which country is home to the Great Barrier Reef?,Australia
What is the square root of 144?,12
What is the capital of India?,New Delhi
Who was the first woman to win a Nobel Prize?,Marie Curie
Which city is known as the City of Love?,Paris
Who invented the airplane?,Wright Brothers
What is the capital of South Korea?,Seoul
Who wrote the play Hamlet?,William Shakespeare
What is the largest country by land area?,Russia
Which famous artist cut off his own ear?,Vincent van Gogh
What is the tallest statue in the world?,Statue of Unity
What is the longest river in the world?,Amazon River
Who is known as the Father of Modern Physics?,Albert Einstein
What is the national bird of the United States?,Bald Eagle
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
What year did the Titanic sink?,1912
Who wrote the play Romeo and Juliet?,William Shakespeare
What is the hardest natural substance on Earth?,Diamond
Who was the first man to step on the moon?,Neil Armstrong
What is the longest river in the world?,Nile River
Who discovered penicillin?,Alexander Fleming
What is the smallest country in the world?,Vatican City
Who is known as the Father of Computers?,Charles Babbage
Which planet is known as the Red Planet?,Mars
Who invented the telephone?,Alexander Graham Bell
Which country is home to the Great Barrier Reef?,Australia
What is the capital of Japan?,Tokyo
Who is the author of '1984'?,George Orwell
What is the tallest mountain in the world?,Mount Everest
Which animal is the largest mammal?,Blue Whale
What is the national flower of Japan?,Cherry Blossom
What is the currency of the United Kingdom?,Pound Sterling
In what year did World War II end?,1945
Who was the first president of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
Who wrote the novel 'Moby Dick'?,Herman Melville
Which country invented the first automobile?,Germany
What is the capital of Canada?,Ottawa
What is the most spoken language in the world?,Mandarin Chinese
Who is the founder of Microsoft?,Bill Gates
Which sport is known as 'The King of Sports'?,Soccer (Football)
In which year did the first manned moon landing take place?,1969
What is the capital of Italy?,Rome
Who was the first female prime minister of the United Kingdom?,Margaret Thatcher
Which country is famous for the Eiffel Tower?,France
What is the longest river in the United States?,Missouri River
Which city is known as the Big Apple?,New York City
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
Which planet is closest to the sun?,Mercury
Which famous scientist developed the theory of relativity?,Albert Einstein
What is the capital of Egypt?,Cairo
Which animal is known as the king of the jungle?,Lion
Which country is the largest producer of coffee?,Brazil
What is the largest desert in the world?,Sahara Desert
Which ancient civilization built the pyramids?,Ancient Egyptians
Who is known as the King of Pop?,Michael Jackson
What is the capital of Germany?,Berlin
Which country is famous for its sushi?,Japan
Who painted the Starry Night?,Vincent van Gogh
What is the fastest land animal?,Cheetah
Who is the author of 'Harry Potter'?,J.K. Rowling
What is the most popular sport in the world?,Soccer (Football)
Who was the first man to walk in space?,Yuri Gagarin
Which country is known as the Land of the Rising Sun?,Japan
What is the largest ocean on Earth?,Pacific Ocean
What is the capital of Spain?,Madrid
Who discovered gravity?,Isaac Newton
Which country is home to the Great Wall?,China
What is the smallest planet in our solar system?,Mercury
What is the capital of Russia?,Moscow
Who wrote 'The Great Gatsby'?,F. Scott Fitzgerald
What is the tallest building in the world?,Burj Khalifa
Which planet is known for its rings?,Saturn
Who discovered electricity?,Benjamin Franklin
Which country invented paper?,China
What is the national sport of Canada?,Ice Hockey
What is the capital of Australia?,Canberra
What is the largest continent?,Asia
What is the deepest ocean on Earth?,Pacific Ocean
Who invented the light bulb?,Thomas Edison
What is the currency of the United States?,Dollar
Which city is the Statue of Liberty located in?,New York City
What is the most populous country in the world?,China
Who wrote 'Pride and Prejudice'?,Jane Austen
Which country is known for its maple syrup?,Canada
What is the capital of Brazil?,Brasília
What is the longest mountain range in the world?,Andes
Which famous ship sank after hitting an iceberg?,Titanic
Which country is home to the Great Barrier Reef?,Australia
What is the square root of 144?,12
What is the capital of India?,New Delhi
Who was the first woman to win a Nobel Prize?,Marie Curie
Which city is known as the City of Love?,Paris
Who invented the airplane?,Wright Brothers
What is the capital of South Korea?,Seoul
Who wrote the play Hamlet?,William Shakespeare
What is the largest country by land area?,Russia
Which famous artist cut off his own ear?,Vincent van Gogh
What is the tallest statue in the world?,Statue of Unity
What is the longest river in the world?,Amazon River
Who is known as the Father of Modern Physics?,Albert Einstein
What is the national bird of the United States?,Bald Eagle
What is the capital of France?,Paris
Who painted the Mona Lisa?,Leonardo da Vinci
What is the largest planet in our solar system?,Jupiter
What year did the Titanic sink?,1912
Who wrote the play Romeo and Juliet?,William Shakespeare
What is the hardest natural substance on Earth?,Diamond
Who was the first man to step on the moon?,Neil Armstrong
What is the longest river in the world?,Nile River
Who discovered penicillin?,Alexander Fleming
What is the smallest country in the world?,Vatican City
Who is known as the Father of Computers?,Charles Babbage
Which planet is known as the Red Planet?,Mars
Who invented the telephone?,Alexander Graham Bell
Which country is home to the Great Barrier Reef?,Australia
What is the capital of Japan?,Tokyo
Who is the author of '1984'?,George Orwell
What is the tallest mountain in the world?,Mount Everest
Which animal is the largest mammal?,Blue Whale
What is the national flower of Japan?,Cherry Blossom
What is the currency of the United Kingdom?,Pound Sterling
In what year did World War II end?,1945
Who was the first president of the United States?,George Washington
Which element has the chemical symbol 'O'?,Oxygen
Who wrote the novel 'Moby Dick'?,Herman Melville
Which country invented the first automobile?,Germany
What is the capital of Canada?,Ottawa
What is the most spoken language in the world?,Mandarin Chinese
Who is the founder of Microsoft?,Bill Gates
Which sport is known as 'The King of Sports'?,Soccer (Football)
In which year did the first manned moon landing take place?,1969
What is the capital of Italy?,Rome
Who was the first female prime minister of the United Kingdom?,Margaret Thatcher
Which country is famous for the Eiffel Tower?,France
What is the longest river in the United States?,Missouri River
Which city is known as the Big Apple?,New York City
What is the most abundant gas in Earth's atmosphere?,Nitrogen
Who was the first woman to fly solo across the Atlantic Ocean?,Amelia Earhart
Which planet is closest to the sun?,Mercury
Which famous scientist developed the theory of relativity?,Albert Einstein
What is the capital of Egypt?,Cairo
Which animal is known as the king of the jungle?,Lion
Which country is the largest producer of coffee?,Brazil
What is the largest desert in the world?,Sahara Desert
Which ancient civilization built the pyramids?,Ancient Egyptians
Who is known as the King of Pop?,Michael Jackson
